                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.46377,                0.50125,                0.91374,                0.93954,                0.92627,                0.96753,                0.93294,                 0.2259,                0.29119,                0.79616,               0.006535,               0.006535,               0.006535
                     37,                0.46129,                0.49409,                0.91226,                0.94144,                0.92451,                0.96755,                0.93332,                 0.2256,                 0.2906,                  0.796,               0.006436,               0.006436,               0.006436
                     38,                0.45989,                 0.4935,                0.91245,                0.94384,                0.92395,                0.96783,                0.93391,                0.22531,                 0.2892,                0.79591,               0.006337,               0.006337,               0.006337
                     39,                0.45691,                0.48568,                0.91109,                0.93985,                0.92695,                0.96791,                0.93387,                0.22512,                0.28852,                0.79608,               0.006238,               0.006238,               0.006238
                     40,                 0.4557,                0.48359,                0.91091,                0.93991,                0.92773,                0.96804,                0.93407,                0.22485,                0.28776,                0.79601,               0.006139,               0.006139,               0.006139
                     41,                0.45394,                0.47968,                0.91091,                0.94001,                 0.9307,                0.96825,                 0.9341,                0.22461,                0.28682,                 0.7958,                0.00604,                0.00604,                0.00604
                     42,                0.45332,                0.47719,                0.90971,                 0.9394,                0.93067,                0.96893,                0.93465,                0.22406,                0.28682,                0.79535,               0.005941,               0.005941,               0.005941
                     43,                0.44936,                0.46941,                0.90824,                0.93968,                0.93148,                0.96867,                0.93493,                0.22375,                0.28593,                0.79502,               0.005842,               0.005842,               0.005842
                     44,                0.45119,                0.46943,                0.90866,                0.94169,                0.93073,                0.96921,                0.93529,                0.22342,                 0.2853,                0.79482,               0.005743,               0.005743,               0.005743
                     45,                0.44805,                0.46508,                0.90683,                0.94191,                0.93186,                 0.9694,                0.93571,                0.22292,                0.28428,                0.79465,               0.005644,               0.005644,               0.005644
                     46,                0.44705,                0.46093,                0.90691,                0.94154,                0.93254,                0.96963,                0.93589,                0.22245,                0.28402,                0.79443,               0.005545,               0.005545,               0.005545
                     47,                0.44482,                0.45662,                0.90496,                0.93978,                0.93469,                0.96983,                0.93647,                0.22219,                0.28319,                 0.7944,               0.005446,               0.005446,               0.005446
                     48,                0.44274,                0.45542,                0.90534,                0.94099,                0.93303,                0.96998,                0.93679,                0.22191,                0.28264,                0.79431,               0.005347,               0.005347,               0.005347
                     49,                0.44651,                0.45565,                0.90556,                0.94406,                0.93034,                0.97011,                0.93713,                 0.2216,                0.28187,                0.79428,               0.005248,               0.005248,               0.005248
                     50,                0.44236,                0.45126,                0.90439,                0.94176,                0.93345,                0.97037,                0.93743,                 0.2214,                0.28092,                0.79418,               0.005149,               0.005149,               0.005149
                     51,                0.43957,                 0.4442,                0.90272,                0.94161,                0.93408,                0.97054,                0.93758,                0.22115,                0.28026,                0.79398,                0.00505,                0.00505,                0.00505
                     52,                0.44081,                0.44317,                 0.9039,                0.94377,                 0.9329,                0.97052,                0.93802,                0.22076,                0.27961,                0.79381,               0.004951,               0.004951,               0.004951
                     53,                0.43623,                 0.4409,                0.90199,                 0.9439,                0.93298,                0.97064,                0.93786,                0.22008,                0.27858,                0.79323,               0.004852,               0.004852,               0.004852
                     54,                0.43605,                0.43631,                0.90194,                0.94554,                0.93172,                0.97088,                0.93831,                 0.2197,                 0.2779,                0.79303,               0.004753,               0.004753,               0.004753
                     55,                0.43407,                0.43175,                0.90006,                0.94578,                0.93134,                0.97101,                0.93866,                0.21944,                0.27686,                0.79278,               0.004654,               0.004654,               0.004654
                     56,                0.43293,                0.43148,                0.90166,                 0.9462,                0.93122,                0.97113,                0.93886,                0.21924,                0.27592,                 0.7927,               0.004555,               0.004555,               0.004555
                     57,                0.43178,                0.42226,                0.90052,                0.94394,                 0.9343,                0.97123,                 0.9391,                 0.2188,                0.27557,                0.79255,               0.004456,               0.004456,               0.004456
                     58,                0.43181,                0.42388,                0.89936,                 0.9453,                0.93385,                 0.9714,                0.93908,                 0.2187,                0.27476,                0.79242,               0.004357,               0.004357,               0.004357
                     59,                0.42887,                0.41719,                0.89865,                0.94486,                0.93518,                0.97158,                0.93953,                0.21846,                0.27366,                0.79224,               0.004258,               0.004258,               0.004258
                     60,                0.42904,                0.41352,                0.89791,                0.94439,                0.93535,                0.97172,                0.94013,                0.21806,                0.27333,                0.79212,               0.004159,               0.004159,               0.004159
                     61,                0.42489,                0.41361,                0.89799,                0.94543,                0.93555,                0.97196,                0.94016,                 0.2178,                0.27235,                0.79196,                0.00406,                0.00406,                0.00406
                     62,                0.42362,                 0.4126,                0.89593,                0.94566,                0.93522,                0.97208,                0.94036,                0.21764,                0.27159,                0.79186,               0.003961,               0.003961,               0.003961
                     63,                0.42441,                0.40879,                0.89673,                0.94472,                0.93691,                0.97224,                0.94056,                0.21729,                0.27131,                0.79156,               0.003862,               0.003862,               0.003862
                     64,                  0.423,                 0.4036,                0.89735,                0.94443,                0.93674,                0.97236,                0.94078,                  0.217,                0.27066,                0.79143,               0.003763,               0.003763,               0.003763
                     65,                 0.4206,                0.40102,                0.89685,                0.94509,                0.93655,                0.97241,                0.94105,                0.21685,                0.27031,                0.79139,               0.003664,               0.003664,               0.003664
                     66,                0.41962,                0.39653,                0.89672,                0.94764,                0.93431,                0.97233,                0.94124,                0.21622,                0.27002,                0.79096,               0.003565,               0.003565,               0.003565
                     67,                0.41589,                0.39139,                0.89508,                0.94652,                0.93544,                0.97245,                0.94134,                0.21571,                0.26933,                0.79079,               0.003466,               0.003466,               0.003466
                     68,                0.41721,                0.38802,                0.89527,                0.94723,                0.93526,                0.97245,                0.94153,                0.21557,                0.26959,                0.79075,               0.003367,               0.003367,               0.003367
                     69,                0.41252,                0.38585,                0.89293,                0.94634,                0.93653,                 0.9726,                0.94143,                0.21535,                0.26898,                0.79068,               0.003268,               0.003268,               0.003268
                     70,                0.41178,                0.38098,                0.89339,                0.94711,                0.93673,                0.97271,                0.94175,                0.21507,                 0.2686,                0.79059,               0.003169,               0.003169,               0.003169
                     71,                0.40971,                0.37798,                0.89049,                 0.9471,                0.93738,                0.97282,                0.94223,                0.21504,                0.26833,                 0.7906,                0.00307,                0.00307,                0.00307
                     72,                0.40849,                0.37794,                0.89145,                0.94673,                0.93796,                0.97297,                0.94247,                0.21475,                0.26772,                0.79045,               0.002971,               0.002971,               0.002971
                     73,                0.40584,                0.36923,                 0.8906,                0.94351,                 0.9398,                0.97296,                0.94254,                0.21466,                0.26691,                0.79041,               0.002872,               0.002872,               0.002872
                     74,                0.40617,                0.36683,                0.89147,                0.94358,                0.94065,                 0.9731,                0.94306,                 0.2145,                0.26643,                0.79032,               0.002773,               0.002773,               0.002773
                     75,                0.40352,                0.36378,                0.88806,                0.94371,                0.93943,                0.97326,                0.94355,                0.21428,                0.26563,                0.79031,               0.002674,               0.002674,               0.002674
                     76,                0.40317,                0.36102,                0.88926,                 0.9425,                0.94057,                0.97329,                0.94401,                0.21418,                 0.2656,                0.79027,               0.002575,               0.002575,               0.002575
                     77,                0.40207,                0.35809,                0.88889,                0.94379,                0.93858,                0.97333,                 0.9441,                0.21397,                0.26526,                0.79024,               0.002476,               0.002476,               0.002476
                     78,                0.39736,                0.35291,                0.88589,                 0.9436,                0.93892,                0.97336,                0.94414,                0.21383,                0.26459,                0.79014,               0.002377,               0.002377,               0.002377
                     79,                0.39769,                0.34835,                0.88866,                0.94623,                0.93711,                0.97336,                0.94433,                0.21364,                0.26456,                0.79018,               0.002278,               0.002278,               0.002278
                     80,                0.39605,                0.34534,                0.88764,                0.94671,                 0.9369,                0.97335,                0.94444,                0.21346,                0.26443,                 0.7901,               0.002179,               0.002179,               0.002179
                     81,                 0.3944,                0.34398,                0.88604,                0.94641,                 0.9386,                0.97337,                0.94457,                0.21321,                0.26412,                0.78993,                0.00208,                0.00208,                0.00208
                     82,                0.39147,                0.33661,                0.88558,                0.94567,                0.93833,                0.97345,                0.94462,                 0.2129,                0.26403,                0.78975,               0.001981,               0.001981,               0.001981
