                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.48811,                0.79515,                0.92848,                0.74335,                0.75372,                0.79145,                0.76063,                0.25847,                0.63169,                0.81524,               0.006535,               0.006535,               0.006535
                     37,                0.48387,                0.77847,                0.92885,                0.74955,                0.75497,                 0.7931,                0.76271,                0.25825,                0.62703,                0.81528,               0.006436,               0.006436,               0.006436
                     38,                0.48465,                0.77931,                0.92846,                0.75425,                0.75371,                 0.7949,                0.76415,                0.25773,                0.62315,                0.81566,               0.006337,               0.006337,               0.006337
                     39,                0.48226,                0.76753,                0.92852,                0.75455,                0.75563,                0.79483,                0.76467,                0.25691,                0.61985,                0.81517,               0.006238,               0.006238,               0.006238
                     40,                0.47956,                0.76061,                0.92759,                0.75663,                0.75532,                0.79741,                0.76663,                0.25585,                0.61637,                0.81487,               0.006139,               0.006139,               0.006139
                     41,                0.47898,                0.75409,                0.92524,                0.73695,                0.77356,                0.79889,                0.76868,                0.25489,                0.61367,                0.81437,                0.00604,                0.00604,                0.00604
                     42,                0.47994,                0.74905,                0.92704,                0.74901,                0.76492,                0.80075,                0.77045,                0.25381,                 0.6103,                0.81402,               0.005941,               0.005941,               0.005941
                     43,                0.47535,                0.73727,                0.92509,                0.75445,                0.76185,                0.80152,                0.77184,                0.25306,                0.60886,                0.81363,               0.005842,               0.005842,               0.005842
                     44,                 0.4726,                 0.7337,                0.92447,                0.75511,                0.76156,                0.80175,                0.77234,                0.25231,                0.60716,                0.81356,               0.005743,               0.005743,               0.005743
                     45,                0.46951,                 0.7202,                0.92132,                0.75963,                0.76135,                0.80289,                 0.7734,                0.25197,                0.60623,                0.81365,               0.005644,               0.005644,               0.005644
                     46,                0.46878,                0.71352,                0.92038,                 0.7625,                0.76098,                0.80373,                0.77386,                0.25166,                0.60475,                 0.8136,               0.005545,               0.005545,               0.005545
                     47,                0.46859,                 0.7132,                0.92117,                0.76337,                0.76041,                0.80463,                 0.7752,                0.25102,                0.60335,                0.81323,               0.005446,               0.005446,               0.005446
                     48,                0.46137,                0.69639,                0.91766,                0.75921,                0.76285,                0.80533,                0.77594,                0.25049,                0.60206,                0.81311,               0.005347,               0.005347,               0.005347
                     49,                0.46436,                0.69632,                0.91932,                0.76439,                0.76099,                0.80537,                 0.7759,                0.25002,                0.60078,                0.81311,               0.005248,               0.005248,               0.005248
                     50,                0.46262,                0.69367,                 0.9187,                0.76547,                0.75736,                0.80562,                0.77641,                0.24975,                 0.6002,                0.81303,               0.005149,               0.005149,               0.005149
                     51,                0.46301,                0.68717,                0.91963,                0.76404,                0.76013,                0.80599,                0.77676,                 0.2492,                 0.5994,                0.81295,                0.00505,                0.00505,                0.00505
                     52,                0.45735,                 0.6751,                0.91603,                0.75947,                0.76639,                0.80662,                0.77748,                  0.249,                0.59891,                0.81295,               0.004951,               0.004951,               0.004951
                     53,                0.45693,                0.66968,                0.91554,                0.76438,                0.76269,                0.80737,                0.77811,                0.24858,                0.59833,                0.81282,               0.004852,               0.004852,               0.004852
                     54,                0.45651,                0.66191,                0.91468,                0.76718,                0.76034,                0.80722,                0.77843,                0.24801,                 0.5978,                0.81252,               0.004753,               0.004753,               0.004753
                     55,                0.45604,                0.65786,                0.91485,                0.77068,                0.75774,                 0.8075,                0.77869,                0.24751,                0.59746,                0.81234,               0.004654,               0.004654,               0.004654
                     56,                 0.4519,                 0.6511,                0.91347,                0.76843,                0.76009,                0.80726,                0.77876,                0.24722,                0.59747,                0.81229,               0.004555,               0.004555,               0.004555
                     57,                0.44957,                0.64234,                0.91385,                0.76427,                0.76748,                0.80759,                0.77906,                0.24692,                0.59689,                0.81225,               0.004456,               0.004456,               0.004456
                     58,                0.44869,                0.63698,                0.91151,                0.76744,                0.76531,                 0.8078,                0.77955,                0.24652,                0.59675,                0.81205,               0.004357,               0.004357,               0.004357
                     59,                0.44602,                0.63626,                0.91183,                0.76911,                 0.7639,                0.80812,                0.77997,                0.24616,                0.59614,                0.81199,               0.004258,               0.004258,               0.004258
                     60,                0.44882,                0.62593,                0.91267,                0.76577,                0.76554,                0.80836,                0.78029,                 0.2457,                0.59551,                0.81178,               0.004159,               0.004159,               0.004159
                     61,                0.44468,                0.62353,                0.91173,                0.76648,                0.76565,                0.80842,                0.78042,                0.24559,                0.59544,                0.81172,                0.00406,                0.00406,                0.00406
                     62,                0.44223,                0.61354,                0.90933,                0.76662,                0.76574,                0.80877,                0.78082,                0.24555,                0.59517,                0.81173,               0.003961,               0.003961,               0.003961
                     63,                0.43989,                0.60796,                0.90875,                0.76763,                0.76607,                0.80877,                0.78071,                0.24545,                 0.5949,                0.81167,               0.003862,               0.003862,               0.003862
                     64,                0.43684,                0.59349,                0.90737,                0.76921,                0.76532,                0.80908,                0.78117,                 0.2452,                0.59454,                0.81164,               0.003763,               0.003763,               0.003763
                     65,                0.43801,                0.59474,                0.90686,                0.77029,                0.76527,                0.80925,                0.78122,                0.24486,                0.59417,                0.81148,               0.003664,               0.003664,               0.003664
                     66,                0.43671,                0.58497,                0.90755,                0.76978,                0.76583,                0.80937,                0.78147,                0.24467,                0.59393,                0.81138,               0.003565,               0.003565,               0.003565
                     67,                0.43385,                0.57392,                0.90607,                0.76899,                0.76573,                 0.8096,                0.78163,                0.24433,                0.59389,                0.81126,               0.003466,               0.003466,               0.003466
                     68,                 0.4328,                0.56968,                0.90398,                0.76774,                0.76717,                0.80982,                0.78172,                0.24421,                 0.5937,                0.81121,               0.003367,               0.003367,               0.003367
                     69,                0.43053,                0.56208,                0.90299,                0.76732,                0.76774,                0.80985,                 0.7818,                0.24414,                0.59386,                0.81113,               0.003268,               0.003268,               0.003268
                     70,                0.42947,                0.55502,                0.90379,                 0.7623,                0.76966,                0.81011,                0.78219,                0.24384,                0.59397,                0.81098,               0.003169,               0.003169,               0.003169
                     71,                0.42711,                0.54804,                0.90193,                0.76067,                0.77012,                   0.81,                0.78217,                0.24371,                0.59406,                0.81085,                0.00307,                0.00307,                0.00307
                     72,                0.42364,                0.54158,                 0.8997,                0.76082,                0.77115,                0.80997,                0.78212,                0.24346,                0.59437,                0.81069,               0.002971,               0.002971,               0.002971
                     73,                 0.4223,                0.53142,                0.90143,                0.76139,                0.77022,                0.81009,                0.78229,                0.24335,                 0.5944,                 0.8106,               0.002872,               0.002872,               0.002872
                     74,                0.42004,                0.52662,                0.89931,                0.76137,                0.77098,                0.81008,                0.78237,                0.24316,                0.59444,                0.81053,               0.002773,               0.002773,               0.002773
                     75,                0.42032,                0.52407,                0.90055,                0.76661,                0.76633,                0.81002,                0.78221,                0.24291,                0.59488,                0.81035,               0.002674,               0.002674,               0.002674
                     76,                0.41835,                0.51848,                0.89888,                 0.7669,                0.76682,                0.81004,                 0.7822,                0.24257,                0.59492,                0.81014,               0.002575,               0.002575,               0.002575
                     77,                0.41674,                0.51107,                 0.8989,                0.76502,                0.76927,                0.81015,                0.78258,                 0.2424,                0.59518,                0.80997,               0.002476,               0.002476,               0.002476
                     78,                 0.4151,                0.50927,                0.89813,                0.76642,                0.76801,                0.80992,                0.78248,                0.24231,                0.59511,                0.80998,               0.002377,               0.002377,               0.002377
                     79,                0.41339,                0.49847,                0.89762,                0.76459,                 0.7687,                0.81003,                 0.7829,                0.24202,                0.59538,                0.80984,               0.002278,               0.002278,               0.002278
                     80,                0.41023,                0.48468,                0.89592,                0.76227,                0.77088,                0.80984,                0.78312,                  0.242,                0.59573,                0.80984,               0.002179,               0.002179,               0.002179
                     81,                0.41142,                0.47953,                0.89399,                0.76285,                0.76968,                0.80994,                0.78319,                0.24179,                0.59628,                0.80967,                0.00208,                0.00208,                0.00208
                     82,                 0.4052,                0.46999,                0.89174,                0.76302,                0.77049,                0.80971,                0.78304,                0.24149,                0.59712,                0.80957,               0.001981,               0.001981,               0.001981
                     83,                0.40283,                0.46823,                0.89193,                0.76319,                0.77064,                0.80949,                  0.783,                0.24138,                 0.5977,                0.80949,               0.001882,               0.001882,               0.001882
                     84,                 0.4012,                0.45951,                0.89242,                 0.7619,                0.77201,                0.80955,                0.78293,                0.24118,                0.59816,                0.80934,               0.001783,               0.001783,               0.001783
                     85,                0.40289,                0.45416,                0.89181,                0.76258,                0.77173,                0.80943,                0.78301,                0.24105,                0.59867,                0.80918,               0.001684,               0.001684,               0.001684
                     86,                0.39933,                0.44975,                0.89106,                0.76078,                0.77376,                0.80927,                0.78292,                0.24084,                0.59925,                  0.809,               0.001585,               0.001585,               0.001585
                     87,                 0.3957,                0.43734,                0.89107,                0.76985,                0.76541,                0.80912,                0.78275,                0.24062,                0.59985,                0.80889,               0.001486,               0.001486,               0.001486
                     88,                0.39371,                0.43425,                0.88873,                0.77159,                0.76431,                0.80916,                 0.7828,                0.24057,                0.60036,                0.80885,               0.001387,               0.001387,               0.001387
                     89,                 0.3958,                0.43082,                0.88928,                0.77342,                0.76365,                0.80908,                0.78268,                0.24044,                0.60121,                0.80883,               0.001288,               0.001288,               0.001288
                     90,                0.25967,                0.28408,                0.79443,                0.76753,                 0.7666,                0.80887,                0.78244,                0.24036,                0.60236,                 0.8088,               0.001189,               0.001189,               0.001189
                     91,                0.25478,                0.26842,                0.79345,                0.76653,                0.76828,                0.80894,                0.78259,                0.24014,                0.60312,                0.80864,                0.00109,                0.00109,                0.00109
                     92,                0.25228,                0.26076,                0.79483,                0.77378,                0.76279,                0.80865,                0.78233,                0.23999,                0.60373,                0.80856,               0.000991,               0.000991,               0.000991
                     93,                0.25046,                0.25367,                0.79049,                0.77454,                0.76196,                0.80866,                0.78231,                0.23966,                0.60473,                0.80836,               0.000892,               0.000892,               0.000892
                     94,                0.24814,                0.24124,                0.79059,                0.77599,                 0.7593,                0.80852,                 0.7822,                0.23948,                0.60569,                0.80821,               0.000793,               0.000793,               0.000793
                     95,                0.24529,                0.23535,                0.78948,                0.78547,                0.75283,                0.80846,                0.78223,                0.23944,                0.60678,                0.80829,               0.000694,               0.000694,               0.000694
                     96,                0.24504,                0.22647,                0.79011,                 0.7808,                 0.7559,                0.80796,                0.78181,                0.23921,                0.60809,                 0.8081,               0.000595,               0.000595,               0.000595
                     97,                0.24273,                0.22175,                0.78857,                0.77086,                0.76636,                0.80761,                 0.7818,                0.23911,                0.60958,                0.80805,               0.000496,               0.000496,               0.000496
                     98,                0.23996,                0.21274,                0.78528,                0.76773,                0.77067,                 0.8074,                0.78175,                 0.2389,                0.61098,                0.80786,               0.000397,               0.000397,               0.000397
                     99,                0.23842,                0.20718,                0.78727,                0.77123,                 0.7663,                0.80703,                0.78145,                0.23873,                0.61262,                0.80769,               0.000298,               0.000298,               0.000298
