                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.45375,                0.77427,                0.91974,                0.76829,                 0.7948,                0.82934,                0.79697,                0.22407,                0.61256,                0.79981,               0.006535,               0.006535,               0.006535
                     37,                0.45303,                0.77032,                0.92361,                0.76863,                0.79636,                0.83066,                0.79843,                0.22325,                0.60796,                0.79976,               0.006436,               0.006436,               0.006436
                     38,                0.45286,                0.76204,                0.92427,                0.76532,                0.79954,                  0.832,                0.79948,                0.22249,                 0.6055,                0.79978,               0.006337,               0.006337,               0.006337
                     39,                0.44981,                0.75507,                0.92163,                0.77273,                 0.7962,                0.83371,                0.80147,                0.22142,                0.60238,                0.79926,               0.006238,               0.006238,               0.006238
                     40,                0.44583,                0.74474,                0.91979,                0.78041,                 0.7911,                0.83461,                0.80223,                0.22083,                  0.601,                0.79904,               0.006139,               0.006139,               0.006139
                     41,                0.44815,                0.74035,                0.92108,                0.76957,                0.80392,                0.83548,                0.80319,                0.22065,                0.60006,                0.79879,                0.00604,                0.00604,                0.00604
                     42,                0.44358,                0.73691,                 0.9184,                0.77225,                0.80131,                0.83637,                0.80386,                0.22016,                0.59896,                0.79862,               0.005941,               0.005941,               0.005941
                     43,                 0.4425,                0.73425,                0.91585,                0.77988,                0.79383,                0.83795,                 0.8054,                0.21987,                0.59651,                0.79859,               0.005842,               0.005842,               0.005842
                     44,                 0.4419,                0.72553,                0.91863,                0.77358,                0.80265,                0.83912,               0.80711,                0.21905,                0.59437,                0.79817,               0.005743,               0.005743,               0.005743
                     45,                0.43736,                0.71568,                 0.9161,                0.76979,                0.80875,                0.83987,                0.80812,                0.21894,                0.59304,                0.79811,               0.005644,               0.005644,               0.005644
                     46,                0.43696,                 0.7036,                0.91457,                0.77347,                0.80765,                0.84039,                0.80886,                0.21859,                0.59179,                 0.7981,               0.005545,               0.005545,               0.005545
                     47,                0.43592,                0.70883,                0.91471,                0.77887,                0.80466,                0.84104,                0.80967,                0.21813,                0.59086,                0.79781,               0.005446,               0.005446,               0.005446
                     48,                0.43369,                0.70031,                0.91402,                0.77714,                0.80685,                 0.8414,                0.81013,                0.21777,                0.58951,                0.79763,               0.005347,               0.005347,               0.005347
                     49,                0.43093,                 0.6849,                0.91365,                0.77889,                0.80509,                0.84147,                0.81078,                0.21749,                0.58921,                0.79761,               0.005248,               0.005248,               0.005248
                     50,                0.43188,                0.68734,                0.91319,                0.77696,                0.80549,                0.84171,                0.81105,                  0.217,                0.58806,                0.79752,               0.005149,               0.005149,               0.005149
                     51,                0.42837,                0.67468,                 0.9117,                0.78048,                0.80295,                0.84212,                0.81135,                 0.2167,                 0.5871,                 0.7975,                0.00505,                0.00505,                0.00505
                     52,                0.43106,                0.66662,                0.91256,                0.78104,                0.80261,                0.84246,                0.81183,                0.21649,                0.58618,                0.79747,               0.004951,               0.004951,               0.004951
                     53,                0.42562,                0.66443,                0.91067,                0.78134,                0.80225,                0.84268,                0.81196,                0.21619,                0.58543,                0.79739,               0.004852,               0.004852,               0.004852
                     54,                  0.423,                0.65495,                0.90928,                0.78239,                0.80379,                0.84287,                0.81219,                0.21581,                0.58463,                0.79738,               0.004753,               0.004753,               0.004753
                     55,                0.41799,                 0.6517,                0.90664,                0.78056,                0.80536,                0.84336,                0.81259,                0.21547,                0.58357,                0.79727,               0.004654,               0.004654,               0.004654
                     56,                0.41946,                 0.6431,                0.90586,                0.77532,                0.81053,                0.84358,                0.81284,                 0.2153,                0.58308,                0.79731,               0.004555,               0.004555,               0.004555
                     57,                 0.4198,                0.64209,                0.91029,                0.77649,                0.81127,                0.84377,                0.81351,                 0.2151,                0.58225,                0.79721,               0.004456,               0.004456,               0.004456
                     58,                0.41563,                0.62785,                0.90641,                0.77654,                0.81157,                0.84411,                0.81355,                  0.215,                 0.5819,                0.79726,               0.004357,               0.004357,               0.004357
                     59,                0.41734,                 0.6304,                0.90695,                0.77633,                0.81409,                0.84438,                0.81402,                0.21469,                0.58116,                0.79719,               0.004258,               0.004258,               0.004258
                     60,                0.41252,                0.61714,                0.90646,                0.77833,                0.81275,                0.84481,                0.81432,                0.21445,                0.58078,                0.79719,               0.004159,               0.004159,               0.004159
                     61,                0.41587,                0.61144,                0.90574,                0.77878,                0.81082,                0.84486,                0.81458,                0.21412,                 0.5805,                0.79703,                0.00406,                0.00406,                0.00406
                     78,                0.38531,                0.50486,                0.89408,                0.78774,                0.80871,                0.84635,                0.81757,                0.21054,                0.57914,                0.79575,               0.002377,               0.002377,               0.002377
                     79,                0.38269,                0.49496,                 0.8934,                0.78865,                 0.8084,                0.84659,                0.81798,                0.21027,                0.57948,                0.79559,               0.002278,               0.002278,               0.002278
                     80,                0.38021,                0.48601,                0.89135,                0.78734,                0.80828,                0.84663,                0.81813,                0.21013,                0.57992,                0.79554,               0.002179,               0.002179,               0.002179
                     81,                0.37987,                0.48129,                0.89164,                0.78842,                0.80818,                0.84665,                0.81846,                 0.2103,                0.58026,                0.79588,                0.00208,                0.00208,                0.00208
                     82,                0.37815,                0.47978,                0.89168,                0.78757,                0.80803,                0.84669,                0.81857,                0.21008,                0.58027,                0.79577,               0.001981,               0.001981,               0.001981
                     83,                0.37386,                0.46827,                0.88758,                0.78716,                0.80926,                0.84658,                0.81847,                 0.2098,                0.58077,                0.79562,               0.001882,               0.001882,               0.001882
                     84,                0.37441,                0.46285,                0.88842,                0.78643,                0.81051,                0.84653,                0.81839,                0.20959,                0.58141,                0.79552,               0.001783,               0.001783,               0.001783
                     85,                0.37213,                0.45539,                0.88953,                0.78871,                 0.8091,                0.84643,                 0.8182,                0.20943,                0.58163,                0.79539,               0.001684,               0.001684,               0.001684
                     86,                0.36869,                0.44853,                0.88589,                0.78718,                0.80892,                0.84637,                0.81803,                0.20927,                0.58236,                0.79526,               0.001585,               0.001585,               0.001585
                     87,                 0.3658,                0.44364,                0.88751,                0.79306,                 0.8023,                0.84652,                0.81821,                0.20907,                0.58306,                0.79523,               0.001486,               0.001486,               0.001486
                     88,                0.36601,                0.43437,                0.88676,                0.79565,                0.79951,                 0.8464,                0.81803,                0.20898,                0.58372,                0.79516,               0.001387,               0.001387,               0.001387
                     89,                0.36447,                0.43346,                0.88533,                0.79697,                0.79906,                0.84634,                0.81808,                0.20881,                0.58439,                0.79517,               0.001288,               0.001288,               0.001288
                     90,                0.22994,                0.30167,                0.78741,                 0.7986,                0.79773,                0.84623,                0.81819,                0.20864,                0.58521,                0.79516,               0.001189,               0.001189,               0.001189
                     91,                0.22757,                0.28563,                0.78682,                0.80072,                0.79454,                0.84594,                0.81828,                0.20842,                0.58597,                0.79507,                0.00109,                0.00109,                0.00109
                     92,                0.22515,                0.27448,                0.78597,                0.80007,                 0.7947,                0.84575,                0.81815,                0.20833,                0.58659,                0.79505,               0.000991,               0.000991,               0.000991
                     93,                0.22359,                0.26447,                 0.7867,                0.79826,                0.79513,                0.84555,                0.81793,                0.20816,                0.58774,                0.79501,               0.000892,               0.000892,               0.000892
                     94,                0.22134,                0.25673,                0.78472,                0.79629,                0.79787,                0.84509,                0.81746,                0.20807,                0.58911,                0.79504,               0.000793,               0.000793,               0.000793
                     95,                0.21843,                0.24786,                0.78575,                0.79589,                0.79861,                 0.8447,                0.81723,                0.20794,                0.59069,                0.79498,               0.000694,               0.000694,               0.000694
                     96,                0.21796,                0.24131,                0.78481,                0.79109,                0.80359,                0.84433,                0.81687,                 0.2078,                0.59226,                 0.7949,               0.000595,               0.000595,               0.000595
                     97,                0.21631,                0.23325,                0.78198,                0.78976,                0.80367,                0.84386,                0.81659,                0.20765,                0.59402,                0.79482,               0.000496,               0.000496,               0.000496
                     98,                0.21287,                0.22735,                0.78333,                0.79212,                  0.802,                0.84368,                0.81641,                0.20772,                0.59588,                0.79492,               0.000397,               0.000397,               0.000397
                     99,                0.21187,                0.22138,                0.78263,                0.78661,                0.80551,                0.84311,                0.81604,                0.20767,                0.59776,                0.79494,               0.000298,               0.000298,               0.000298
